filename,title,cycle,group
154.txt,Sonnet CLIV,to the Dark Lady,0
153.txt,Sonnet CLIII,to the Dark Lady,0
152.txt,Sonnet CLII,to the Dark Lady,0
151.txt,Sonnet CLI,to the Dark Lady,0
150.txt,Sonnet CL,to the Dark Lady,0
149.txt,Sonnet CXLIX,to the Dark Lady,0
148.txt,Sonnet CXLVIII,to the Dark Lady,0
147.txt,Sonnet CXLVII,to the Dark Lady,0
146.txt,Sonnet CXLVI,to the Dark Lady,0
145.txt,Sonnet CXLV,to the Dark Lady,0
144.txt,Sonnet CXLIV,to the Dark Lady,0
143.txt,Sonnet CXLIII,to the Dark Lady,0
142.txt,Sonnet CXLII,to the Dark Lady,0
141.txt,Sonnet CXLI,to the Dark Lady,0
140.txt,Sonnet CXL,to the Dark Lady,0
139.txt,Sonnet CXXXIX,to the Dark Lady,0
